,num_MP,pc_diff,day_number
1900-01-01,264,141.49165455365647,1
1900-01-02,128,17.086862813894044,2
1900-01-03,117,7.0247105408250246,3
1900-01-04,102,-6.696406195178184,4
1900-01-05,119,8.85419277229212,5
1900-01-06,108,-1.2079595007769002,6
1900-01-07,115,5.19522830935793,7
1900-01-08,118,7.939451656558571,8
1900-01-09,97,-11.27011177384592,9
1900-01-10,138,26.234273971229516,10
1900-01-11,101,-7.611147310911731,11
1900-01-12,112,2.4510049621572887,12
1900-01-13,90,-17.67329958398075,13
1900-01-14,92,-15.843817352513657,14
1900-01-15,92,-15.843817352513657,15
1900-01-16,108,-1.2079595007769002,16
1900-01-17,98,-10.355370658112372,17
1900-01-18,122,11.59841611949276,18
1900-01-19,107,-2.1227006165104476,19
1900-01-20,145,32.637461781364344,20
1900-01-21,117,7.0247105408250246,21
1900-01-22,132,20.745827276828233,22
1900-01-23,102,-6.696406195178184,23
1900-01-24,97,-11.27011177384592,24
1900-01-25,102,-6.696406195178184,25
1900-01-26,103,-5.781665079444637,26
1900-01-27,96,-12.184852889579467,27
1900-01-28,115,5.19522830935793,28
1900-01-29,111,1.5362638464237415,29
1900-01-30,97,-11.27011177384592,30
1900-01-31,104,-4.8669239637110895,31
1900-02-01,109,-0.2932183850433531,32
1900-02-02,137,25.319532855495968,33
1900-02-03,99,-9.440629542378826,34
1900-02-04,129,18.001603929627592,35
1900-02-05,114,4.280487193624383,36
1900-02-06,108,-1.2079595007769002,37
1900-02-07,97,-11.27011177384592,38
1900-02-08,99,-9.440629542378826,39
1900-02-09,94,-14.014335121046562,40
1900-02-10,115,5.19522830935793,41
1900-02-11,116,6.109969425091477,42
1900-02-12,135,23.490050624028875,43
1900-02-13,91,-16.7585584682472,44
1900-02-14,120,9.768933888025666,45
1900-02-15,106,-3.0374417322439946,46
1900-02-16,104,-4.8669239637110895,47
1900-02-17,114,4.280487193624383,48
1900-02-18,107,-2.1227006165104476,49
1900-02-19,98,-10.355370658112372,50
1900-02-20,102,-6.696406195178184,51
1900-02-21,100,-8.525888426645277,52
1900-02-22,98,-10.355370658112372,53
1900-02-23,112,2.4510049621572887,54
1900-02-24,118,7.939451656558571,55
1900-02-25,125,14.342639466693402,56
1900-02-26,90,-17.67329958398075,57
1900-02-27,112,2.4510049621572887,58
1900-02-28,99,-9.440629542378826,59
1900-03-01,138,26.234273971229516,60
1900-03-02,121,10.683675003759213,61
1900-03-03,107,-2.1227006165104476,62
1900-03-04,105,-3.952182847977542,63
1900-03-05,112,2.4510049621572887,64
1900-03-06,105,-3.952182847977542,65
1900-03-07,114,4.280487193624383,66
1900-03-08,123,12.513157235226307,67
1900-03-09,105,-3.952182847977542,68
1900-03-10,96,-12.184852889579467,69
1900-03-11,117,7.0247105408250246,70
1900-03-12,99,-9.440629542378826,71
1900-03-13,104,-4.8669239637110895,72
1900-03-14,121,10.683675003759213,73
1900-03-15,132,20.745827276828233,74
1900-03-16,124,13.427898350959854,75
1900-03-17,114,4.280487193624383,76
1900-03-18,108,-1.2079595007769002,77
1900-03-19,111,1.5362638464237415,78
1900-03-20,123,12.513157235226307,79
1900-03-21,102,-6.696406195178184,80
1900-03-22,92,-15.843817352513657,81
1900-03-23,134,22.575309508295327,82
1900-03-24,98,-10.355370658112372,83
1900-03-25,89,-18.5880406997143,84
1900-03-26,120,9.768933888025666,85
1900-03-27,109,-0.2932183850433531,86
1900-03-28,98,-10.355370658112372,87
1900-03-29,111,1.5362638464237415,88
1900-03-30,99,-9.440629542378826,89
1900-03-31,119,8.85419277229212,90
1900-04-01,141,28.978497318430158,91
1900-04-02,110,0.6215227306901941,92
1900-04-03,104,-4.8669239637110895,93
1900-04-04,108,-1.2079595007769002,94
1900-04-05,115,5.19522830935793,95
1900-04-06,116,6.109969425091477,96
1900-04-07,100,-8.525888426645277,97
1900-04-08,126,15.257380582426949,98
1900-04-09,108,-1.2079595007769002,99
1900-04-10,107,-2.1227006165104476,100
1900-04-11,104,-4.8669239637110895,101
1900-04-12,123,12.513157235226307,102
1900-04-13,111,1.5362638464237415,103
1900-04-14,121,10.683675003759213,104
1900-04-15,117,7.0247105408250246,105
1900-04-16,96,-12.184852889579467,106
1900-04-17,110,0.6215227306901941,107
1900-04-18,110,0.6215227306901941,108
1900-04-19,95,-13.099594005313014,109
1900-04-20,125,14.342639466693402,110
1900-04-21,99,-9.440629542378826,111
1900-04-22,100,-8.525888426645277,112
1900-04-23,96,-12.184852889579467,113
1900-04-24,104,-4.8669239637110895,114
1900-04-25,110,0.6215227306901941,115
1900-04-26,114,4.280487193624383,116
1900-04-27,116,6.109969425091477,117
1900-04-28,116,6.109969425091477,118
1900-04-29,115,5.19522830935793,119
1900-04-30,107,-2.1227006165104476,120
1900-05-01,158,44.52909628590046,121
1900-05-02,103,-5.781665079444637,122
1900-05-03,98,-10.355370658112372,123
1900-05-04,100,-8.525888426645277,124
1900-05-05,128,17.086862813894044,125
1900-05-06,144,31.7227206656308,126
1900-05-07,108,-1.2079595007769002,127
1900-05-08,107,-2.1227006165104476,128
1900-05-09,97,-11.27011177384592,129
1900-05-10,133,21.66056839256178,130
1900-05-11,102,-6.696406195178184,131
1900-05-12,134,22.575309508295327,132
1900-05-13,119,8.85419277229212,133
1900-05-14,114,4.280487193624383,134
1900-05-15,121,10.683675003759213,135
1900-05-16,112,2.4510049621572887,136
1900-05-17,109,-0.2932183850433531,137
1900-05-18,107,-2.1227006165104476,138
1900-05-19,100,-8.525888426645277,139
1900-05-20,131,19.831086161094685,140
1900-05-21,97,-11.27011177384592,141
1900-05-22,101,-7.611147310911731,142
1900-05-23,115,5.19522830935793,143
1900-05-24,87,-20.41752293118139,144
1900-05-25,120,9.768933888025666,145
1900-05-26,120,9.768933888025666,146
1900-05-27,106,-3.0374417322439946,147
1900-05-28,98,-10.355370658112372,148
1900-05-29,89,-18.5880406997143,149
1900-05-30,100,-8.525888426645277,150
1900-05-31,102,-6.696406195178184,151
1900-06-01,162,48.18806074883465,152
1900-06-02,102,-6.696406195178184,153
1900-06-03,123,12.513157235226307,154
1900-06-04,120,9.768933888025666,155
1900-06-05,111,1.5362638464237415,156
1900-06-06,125,14.342639466693402,157
1900-06-07,103,-5.781665079444637,158
1900-06-08,113,3.3657460778908357,159
1900-06-09,98,-10.355370658112372,160
1900-06-10,140,28.06375620269661,161
1900-06-11,111,1.5362638464237415,162
1900-06-12,122,11.59841611949276,163
