name,birth date
Jacob Aagaard,1973-07-31
Nijat Abasov,1995-05-14
Hasan Abbasifar,1972-08-11
Farid Abbasov,1979-01-31
Zhansaya Abdumalik,2000-01-12
Nodirbek Abdusattorov,2004-09-18
Thal Abergel,1982-10-13
Boško Abramović,1951-02-14
Aryam Abreu Delgado,
Péter Ács,1981-05-10
Gergely Aczel,
Michael Adams (chess player),1971-11-17
Adhiban Baskaran,1992-08-15
Aditya Mittal (chess player)?action=edit&redlink=1,
Al Khatib Ahmad?action=edit&redlink=1,
Ahmed Adly,1987-02-18
András Adorján,1950-03-31
Nikita Afanasiev,2000-08-29
Djakhangir Agaragimov,1986-12-15
Simen Agdestein,1967-05-15
Cemil Aghamaliyev,1974-08-31
Robert Aghasaryan,
Evgeny Agrest,1966-08-15
Luis Lázaro Agüero Jiménez,1991-01-05
Georgy Agzamov,1954-09-06
Yuriy Ajrapetjan,
G. Akash,1996-10-01
Kazbek Akbaev,
Ralf Åkesson,1961-02-08
Varuzhan Akobian,1983-11-19
Vladimir Akopian,1971-12-07
Mohamad Naser Al Sayed,1981-11-02
Mohamad Al-Modiahki,1974-06-01
Vladimir Alatortsev,1909-05-14
Arseny Alavkin,
Carlos Daniel Albornoz Cabrera,2000-12-26
Lev Alburt,1945-08-21
Aleksej Aleksandrov,1973-05-11
Kirill Alekseenko,1997-06-22
Evgeny Alekseev (chess player),1985-11-28
Cemil Can Ali Marandi,1998-01-17
Zoltán Almási,1976-08-29
Omar Almeida Quintana,
Alvar Alonso Rosell,1992-09-13
Salvador Alonso,
Daniel Alsina Leal,1988-05-10
Boris Alterman,
Aramis Alvarez Pedraza,
Mesgen Amanov,1986-09-06
Bassem Amin,1988-09-09
Farrukh Amonatov,1978-04-13
Dimitris Anagnostopoulos,
Viswanathan Anand,1969-12-11
Ashot Anastasian,1964-07-10
Mads Andersen (chess player),1995-03
Ulf Andersson,1951-06-27
Eduard Andreev,1980-03-12
Dmitry Andreikin,1990-02-05
Zaven Andriasian,1989-03-11
Darko Anić (chess player),1957-04-30
Pavel Anisimov,
Emil Anka,1969-01-20
Meilis Annaberdiev,1985-11-24
Orazly Annageldyev,
Babakuli Annakov,
Gergely Antal,1985-03-20
Dejan Antić,1968-12-09
Mikhail Antipov,1997-06-10
David Antón Guijarro,1995-06-23
Rafał Antoniewski,1980-12-03
"Rogelio Antonio, Jr.",1962-02-19
Vladimir Antoshin,
Antônio Antunes,1962-02-06
Manuel Apicella,1970-04-19
Ralf Appel,
Ketevan Arakhamia-Grant,1968-07-19
Aravindh Chithambaram,1999-09-11
Valentin Arbakov,
Ardiansyah,1951-12-05
David Arenas,1991-12-29
Walter Arencibia Rodríguez,1967-07-21
Alexander Areshchenko,1986-06-15
Julen Luis Arizmendi Martínez,1976-07-05
Keith Arkell,1961-01-08
Sergey Arkhipov (chess player),1954-06-23
Jón Loftur Árnason,1960-11-13
G. Petar Arnaudov,1986-08-08
Marc Tyler Arnold,1992-11-20
Levon Aronian,1982-10-06
Levan Aroshidze,1985-07-09
Angel Arribas Lopez,1993-11-27
Vladislav Artemiev,1998-03-05
Subramanian Arun Prasad,1988-04-21
David Arutinian,
Aryan Chopra,2001-12-10
Georgy Arzumanian,
Vugar Asadli,2001-10-09
Bolat Asanov,
Konstantin Aseev,
Maurice Ashley,1966-03-06
Hipolito Asis Gargatagli,1986-08-17
Marat Askarov,1987-06-29
Karen Asrian,1980-04-24
Maksat Atabayev,1994-11-28
Yusup Atabayev,1994-05-11
Suat Atalık,1964-10-10
Yuri Averbakh,1922-02-08
Valeriy Aveskulov,1986-01-31
Santiago Avila Pavas?action=edit&redlink=1,
Boris Avrukh,1978-02-10
Sergei Azarov,1983-05-19
Zurab Azmaiparashvili,1960-03-16
Rashad Babaev,1981-09-03
Levon Babujian,1986-05-08
Vlastimil Babula,1973-10-02
Alexander Baburin,1967-02-19
Yusnel Bacallao Alonso,1988-06-21
Axel Bachmann,1989-11-04
Étienne Bacrot,1983-01-22
Bela Badea,1969-02-21
Giorgi Bagaturov,1964-11-28
Vahe Baghdasaryan,1993-03-20
Amir Bagheri,1978-09-20
Rufat Bagirov,1979-10-10
Vladimir Bagirov,1936-08-16
Alexander Bagrationi (chess),1990-07-13
Bai Jinshi,1999-05-18
Pierre Bailet?action=edit&redlink=1,
Ulvi Bajarani,1995-01-27
Vladimir Baklan,1978-02-25
Tejas Bakre,1981-05-12
Praveen Balakrishnan,2002-05-21
Yuri Balashov,1949-03-12
Marco Baldauf,1990-04-16
Rosendo Balinas Jr.,
Ilia Balinov,1966-07-28
Imre Balog,1991-10-28
Csaba Balogh,1987-03-10
Hristos Banikas,1978-05-20
Tamás Bánusz,1989-04-08
David Baramidze,1988-09-27
Gerardo Barbero,1961-08-21
Evandro Amorim Barbosa,1992-08-24
Oliver Barbosa,1986-09-29
Rogelio Barcenilla,1972-01-23
Gedeon Barcza,1911-08-21
László Bárczay,1936-02-21
Evgeny Bareev,1966-11-21
Dragan Barlov,1957-01-30
Tal Baron,1992-08-07
Sergio Barrientos,1986-06-29
Alexei Barsov,1966-04-03
Mateusz Bartel,1985-01-03
Dibyendu Barua,1966-10-27
Cerdas Barus,1961-01-01
Andrei Baryshpolets?action=edit&redlink=1,
Pier Luigi Basso,1997-12-15
Tsegmed Batchuluun,1987-02-04
Nino Batsiashvili,1987-01-01
Dambasürengiin Batsüren,2004-01-22
Sapar Batyrov,1967-11-29
Christian Bauer,1977-01-11
Julio Becerra Rivero,1973-10-15
Melor Bedia,1979-09-26
Valeri Beim,
Alexander Beliavsky,1953-12-17
Vladimir Belikov (chess player)?action=edit&redlink=1,
Slim Belkhodja,1962-11-23
Bilel Bellahcene,1998-03-14
Juan Manuel Bellón López,1950-05-08
Vladimir Belous,1993-07-29
Vladimir Belov (chess player),1984-08-06
Andrei Belozerov,1977-06-17
Davit Benidze,1991-02-15
Joel Benjamin,1964-03-11
Pal Benko,1928-07-15
Dávid Bérczes,1990-01-14
Dylan Isidro Berdayes Ason?action=edit&redlink=1,
Igor Berdichevski,1964-07-15
Alexander Berelowitsch,1967-07-02
Alin Berescu,1980-04-14
Emanuel Berg,1981-12-28
Ferenc Berkes,1985-08-08
Vitaliy Bernadskiy,1994-11-17
Jan Bernášek,1986-05-31
Ossip Bernstein,1882-09-20
Sergei Beshukov,1971-04-01
Alexei Bezgodov,1969-06-30
Michael Bezold?action=edit&redlink=1,
Harsha Bharathakoti?action=edit&redlink=1,
Vinay Bhat,1984-06-04
Sumiya Bilguun,1997-01-01
István Bilek,1932-08-11
Falko Bindrich,1990-10-17
Klaus Bischoff,1961-06-09
Arthur Bisguier,1929-10-08
Faruk Bistrić,1958-01-01
Richard Bitoon,1975-12-14
Peter Biyiasas,1950-11-19
Jonas Buhl Bjerre,2004-06-26
Dragiša Blagojević,1966-01-01
Pavel Blatný,1968-06-22
Paweł Blehm,1980-04-17
Felix Blohberger,2002-08-20
Erik Blomqvist (chess player),1990-10-19
Matthias Blübaum,1997-04-18
Mark Bluvshtein,1988-04-20
Milko Bobotsov,
Piotr Bobras,1977-09-09
Dmitry Bocharov,1982-10-20
Ivan Bocharov (chess player)?action=edit&redlink=1,
Stanislav Bogdanovich,1993-02-04
Vlatko Bogdanovski,1964-12-31
Sebastian Bogner,1991-01-17
Efim Bogoljubow,1889-04-14
Boban Bogosavljević,1988-04-26
Dejan Bojkov,1977-07-03
Benjamin Bok,1995-01-25
Julio Bolbochán,1920-03-20
Isaac Boleslavsky,1919-06-09
Victor Bologan,1971-12-14
Igor Bondarevsky,1913-05-12
Uwe Bönsch,1958-10-15
Eero Böök,1910-02-09
Juan Borges Mateos?action=edit&redlink=1,
Jure Borišek?action=edit&redlink=1,
Dénes Boros?action=edit&redlink=1,
Vladislav Borovikov?action=edit&redlink=1,
Olexandr Bortnyk,1996-10-18
Avital Boruchovsky,1997-03-15
Marin Bosiočić,1988-08-08
Mikhail Botvinnik,1911-08-17
Slim Bouaziz,1950-04-16
Daan Brandenburg,1987-11-14
Arik Braun,1988-02-08
Slaviša Brenjo?action=edit&redlink=1,
Emmanuel Bricard?action=edit&redlink=1,
Ante Brkić,1988-03-31
David Brodsky,2002-08-19
Michail Brodsky?action=edit&redlink=1,
Stefan Bromberger?action=edit&redlink=1,
David Bronstein,1924-02-19
Michael Brown (chess player),1997-08-24
Walter Browne,1949-01-10
Sabino Brunello,1989-06-27
Lucas Brunner,1967-05-29
Lázaro Bruzón Batista,1982-05-02
Mikhail Bryakin?action=edit&redlink=1,
Stellan Brynell,1962-09-28
Kirill Bryzgalin?action=edit&redlink=1,
Bu Xiangzhi,1985-12-10
Luka Budisavljević,2004-01-22
Rainer Buhmann,1981-02-20
Bùi Vĩnh?action=edit&redlink=1,
Ivan Bukavshin,1995-05-03
Enver Bukić,1937-12-02
Krzysztof Bulski,1987-02-12
