,count,percentage,births_percentage,difference,pc_difference,month
Jan,3549,8.89,8.73,0.16000000000000014,1.83,Jan
Feb,3071,7.7,7.75,-0.04999999999999982,-0.65,Feb
Mar,3450,8.65,8.29,0.3600000000000012,4.34,Mar
Apr,3324,8.33,7.95,0.3799999999999999,4.78,Apr
May,3460,8.67,8.22,0.4499999999999993,5.47,May
Jun,3396,8.51,8.12,0.39000000000000057,4.8,Jun
Jul,3377,8.46,8.65,-0.1899999999999995,-2.2,Jul
Aug,3428,8.59,8.72,-0.13000000000000078,-1.49,Aug
Sep,3337,8.36,8.74,-0.3800000000000008,-4.35,Sep
Oct,3206,8.04,8.58,-0.5400000000000009,-6.29,Oct
Nov,3104,7.78,8.11,-0.3299999999999992,-4.07,Nov
Dec,3198,8.02,8.13,-0.11000000000000121,-1.35,Dec
