name,birth date,party,university,age
Bim Afolami,1986-02-11,Conservative,"University College, Oxford",37.2
Peter Aldous,1961-08-26,Conservative,University of Reading,61.7
Richard Bacon,1962-12-03,Conservative,London School of Economics,60.4
Kemi Badenoch,1980-01-02,Conservative,University of Sussex,43.3
Duncan Baker,1979-11-15,Conservative Party,Nottingham Trent University,43.4
Steve Barclay,1972-05-03,Conservative,"Peterhouse, Cambridge",51.0
John Baron,1959-06-21,Conservative,"Jesus College, Cambridge",63.8
Paul Bristow,1979-03-27,Conservative,Lancaster University,44.1
Anthony Browne,1967-01-19,Conservative,"Trinity Hall, Cambridge",56.3
Alex Burghart,,Conservative,"Christ Church, Oxford",
James Cartlidge,1974-04-30,Conservative,University of Manchester,49.0
Jo Churchill,,Conservative,,
James Cleverly,1969-09-04,Chairman of the Conservative Party,Ealing College of Higher Education,53.6
Thérèse Coffey,1971-11-18,Conservative,"Somerville College, Oxford",51.4
Daisy Cooper,1981-10-29,Deputy Leader of the Liberal Democrats,University of Leeds,41.5
Jonathan Djanogly,1965-06-03,Conservative,,57.9
Nadine Dorries,1957-05-21,Conservative,,65.9
Oliver Dowden,1978-08-01,Chairman of the Conservative Party,"Trinity Hall, Cambridge",44.7
Jackie Doyle-Price,1969-08-05,Conservative,University College,53.7
James Duddridge,1971-08-26,Conservative,University of Essex,51.7
Annalissa Firth,,Conservative,Durham University,
Vicky Ford,1967-09-21,Conservative,"Trinity College, Cambridge",55.6
Mark Francois,1965-08-14,Conservative,University of Bristol,57.7
Lucy Frazer,1972-05-17,Conservative,"Newnham College, Cambridge",50.9
George Freeman,1967-07-12,Conservative,"Girton College, Cambridge",55.8
Richard Fuller,1962-05-30,Conservative,"University College, Oxford",60.9
Robert Halfon,1969-03-22,Deputy Chairman of the Conservative Party,University of Exeter,54.1
Matt Hancock,1978-10-02,Minister of State for Business and Enterprise,"Exeter College, Oxford",44.6
Rebecca Harris,1967-12-22,Conservative,London School of Economics,55.3
Oliver Heald,1954-12-15,Conservative,"Pembroke College, Cambridge",68.4
Rachel Hopkins,1972-03-30,Labour,,51.1
Tom Hunt,1988-08-31,Conservative,"Ely, Cambridgeshire",34.6
Bernard Jenkin,1959-04-09,Deputy Chairman of the Conservative Party,"Corpus Christi College, Cambridge",64.0
Eleanor Laing,1958-02-01,Conservative,University of Edinburgh,65.2
Brandon Lewis,1971-06-20,Chairman of the Conservative Party,University of Buckingham,51.8
Clive Lewis,1971-09-11,Labour,University of Bradford,51.6
Julie Marson,1965-03-23,Conservative,,58.1
Jerome Mayhew,1970-04-11,Conservative,University of Edinburgh,53.0
Stephen McPartland,1976-08-09,Conservative,University of Liverpool,46.7
Stephen Metcalfe,1966-01-09,Conservative,,57.3
Gagan Mohindra,1978-04-07,Conservative,,45.0
Sarah Owen,1983-01-11,Labour,,40.3
Priti Patel,1972-03-29,Conservative,University of Keele,51.1
Mike Penning,1957-09-28,Conservative,,65.6
Dan Poulter,1978-10-30,Conservative,University of Bristol,44.5
Will Quince,1982-12-27,Conservative,Aberystwyth University,40.3
Dean Russell,1976-05-08,Conservative,De Montfort University,47.0
Andrew Selous,1962-04-27,Conservative,London School of Economics,61.0
Grant Shapps,1968-09-14,Chairman of the Conservative Party,Manchester Metropolitan University,54.6
Chloe Smith,1982-05-17,Conservative,University of York,40.9
Liz Truss,1975-07-26,Leader of the Conservative Party,"Merton College, Oxford",47.7
Shailesh Vara,1960-09-04,Conservative,Brunel University,62.6
Charles Walker,1967-09-11,Conservative,University of Oregon,55.6
Giles Watling,1953-02-18,Conservative,,70.2
John Whittingdale,1959-10-16,Conservative,University College London,63.5
James Wild,1977-01-05,Conservative,Queen Mary University of London,46.3
Mohammad Yasin,1971-10-15,Richard Fuller,,51.5
Daniel Zeichner,1956-11-09,Labour,"King's College, Cambridge",66.5
