country,std,num_MPs
Albania,2.569242545535726,219
Argentina,1.9333594062417043,153
Armenia,1.7937865429822772,290
Australia,0.9787496182299343,786
Austria,1.586127113158313,182
Azerbaijan,2.2205779584216376,104
Belarus,3.7868293686072616,114
Belgium,2.7519369072364133,179
Brazil,1.4009696055612686,689
Bulgaria,1.106657750349299,1105
Cambodia,4.355163866123252,45
Canada,1.044021981382761,571
Chile,1.6437534361716086,321
Colombia,2.885116977794199,113
Cook Islands,5.02518907629606,27
Croatia,2.0223177413636075,351
Cyprus,3.5295768100315454,90
Czech Republic,1.1080916754610002,892
Denmark,1.302920075948499,564
Egypt,2.061259050805718,599
Estonia,2.0622842602492257,243
Faroe Islands,2.270541747389839,102
Finland,1.3193203025065816,500
France,1.1096813663720975,1552
Georgia,2.284471487148786,183
Germany,0.695197457526913,4052
Ghana,0.9803921568627448,408
Greece,1.44354035808851,474
Guatemala,3.739536331848049,255
Hong Kong,3.6896478514652657,81
Hungary,1.7144980644047427,218
Iceland,2.0150945537631877,200
India,2.55912123472985,539
Indonesia,1.6169208751091129,259
Ireland,1.18423757445443,636
Israel,0.8800755005776142,848
Italy,0.7121343611722912,1204
Japan,1.7645450362764212,504
Kenya,4.45657842853267,91
Kosovo,2.2219695460305533,172
Kyrgyzstan,4.4831851032917704,42
Latvia,2.7672226335592645,167
Lebanon,3.0497027222128055,43
Lithuania,2.9987343398601163,148
Luxembourg,3.2140358980068675,79
Malaysia,1.1822042378620432,387
Malta,4.942464263844664,35
Mexico,1.4167913563017251,578
Moldova,3.0532244679764347,91
Mongolia,4.874247940868645,26
Montenegro,3.3963368689952884,54
Namibia,2.3231102354937496,121
Nepal,3.5187259127448494,38
Netherlands,2.151905437523623,278
New Zealand,1.4803157892702947,176
Nigeria,2.9887558970058463,203
North Korea,3.7273660724289632,34
North Macedonia,3.2139310232149434,106
Northern Ireland,1.6629474145753915,257
Norway,0.9529957503559066,1209
Papua New Guinea,3.456519632153691,53
Peru,3.2826339218235336,86
Philippines,2.0576142808270865,116
Poland,0.8186695274003314,2172
Puerto Rico,3.500097746569503,43
Romania,1.0466558615934058,648
Russia,1.1332521250786394,629
San Marino,2.7911821879899685,103
Scotland,2.248249378753386,262
Serbia,2.8952498963088726,186
Singapore,1.9921251729386065,149
Slovakia,1.2438586822515008,606
Slovenia,1.788388927601875,138
South Africa,2.5032501232106283,107
South Korea,1.0535633463056306,454
Spain,1.0901008118814017,558
Sri Lanka,1.7351417315359312,214
Sweden,0.8042662192216173,838
Switzerland,1.023960488658934,1238
Taiwan,2.6956186747859876,167
Tanzania,0.921469260163688,633
Thailand,5.427824560657746,36
Tunisia,4.331325738676617,46
Uganda,2.7795049468720525,416
Ukraine,1.5507554625170852,467
United Kingdom,1.1522209953279712,1422
United States of America,0.7486106560589609,2069
Uruguay,4.059361887638143,53
Uzbekistan,1.866264592168034,146
Venezuela,4.06249698992356,55
Vietnam,1.965767642485353,500
Wales,3.4490314119969456,99
Zambia,2.259481075497853,257
Åland,3.8386224122270427,49
