name,birth date,party,university,age
Bim Afolami,1986-02-11,Conservative,"University College, Oxford",37.3
Peter Aldous,1961-08-26,Conservative,University of Reading,61.8
Richard Bacon,1962-12-03,Conservative,London School of Economics,60.5
Kemi Badenoch,1980-01-02,Conservative,University of Sussex,43.4
Duncan Baker,1979-11-15,Conservative Party,Nottingham Trent University,43.6
Steve Barclay,1972-05-03,Conservative,"Peterhouse, Cambridge",51.1
John Baron,1959-06-21,Conservative,"Jesus College, Cambridge",64.0
Paul Bristow,1979-03-27,Conservative,Lancaster University,44.2
Anthony Browne,1967-01-19,Conservative,"Trinity Hall, Cambridge",56.4
Alex Burghart,,Conservative,"Christ Church, Oxford",
James Cartlidge,1974-04-30,Conservative,University of Manchester,49.1
Jo Churchill,,Conservative,,
James Cleverly,1969-09-04,Chairman of the Conservative Party,Ealing College of Higher Education,53.8
Thérèse Coffey,1971-11-18,Conservative,"Somerville College, Oxford",51.5
Daisy Cooper,1981-10-29,Deputy Leader of the Liberal Democrats,University of Leeds,41.6
Jonathan Djanogly,1965-06-03,Conservative,,58.0
Nadine Dorries,1957-05-21,Conservative,,66.1
Oliver Dowden,1978-08-01,Chairman of the Conservative Party,"Trinity Hall, Cambridge",44.8
Jackie Doyle-Price,1969-08-05,Conservative,University College,53.8
James Duddridge,1971-08-26,Conservative,University of Essex,51.8
Annalissa Firth,,Conservative,Durham University,
Vicky Ford,1967-09-21,Conservative,"Trinity College, Cambridge",55.7
Mark Francois,1965-08-14,Conservative,University of Bristol,57.8
Lucy Frazer,1972-05-17,Conservative,"Newnham College, Cambridge",51.1
George Freeman,1967-07-12,Conservative,"Girton College, Cambridge",55.9
Richard Fuller,1962-05-30,Conservative,"University College, Oxford",61.0
Robert Halfon,1969-03-22,Deputy Chairman of the Conservative Party,University of Exeter,54.2
Matt Hancock,1978-10-02,Minister of State for Business and Enterprise,"Exeter College, Oxford",44.7
Rebecca Harris,1967-12-22,Conservative,London School of Economics,55.5
